,Unnamed: 0,base_new,base_lat,transl,POS
61,252,адарилкан,adarilkan,стыдливый,adj
62,255,адарита,adarita,стыдливый,adj
63,271,адыкун,adɨkun,малочисленный,adj
64,264,адӈия,adŋija,непрочный,adj
65,267,а̄ду,adu,одинокий,adj
66,225,агъиӈчири,agъiŋčiri,заботливый,adj
67,191,агдаг,agdag,старший,adj
68,199,агды,agdɨ,пораженный.молнией,adj
69,200,агды,agdɨ,старый,adj
70,203,агдымрин,agdɨmrin,пожилой,adj
71,205,агдыӈатан,agdɨŋatan,старейший,adj
72,209,агдысука̄н,agdɨsukan,пожилой,adj
73,211,агитационнай,agitaцionnaj,агитационный,adj
74,219,агрессивнай,agr'essiwnaj,агрессивный,adj
75,218,агра,agra,шумно,adj
76,296,аидмар,aidmar,лучше,adj
77,304,аиӈ,aiŋ,быстрый,adj
78,305,аиӈатан,aiŋatan,наилучший,adj
79,315,ай,aj,хороший,adj
80,1167,аяр,ajar,потусторонний,adj
81,1157,ая̄вматникан,ajawmatnikan,дружно,adj
82,1160,ая̄вна,ajawna,возлюбленный,adj
83,366,айчакан,ajčakan,хорошо,adj
84,370,айчилдывун,ajčildɨwun,спасательный,adj
85,321,айиӈ,ajiŋ,быстрый,adj
86,356,айӈучич,ajŋučič,ласково,adj
87,359,айсач,ajsač,бережливый,adj
88,379,ак,ak,глухой,adj
89,384,акадмар,akadmar,старший,adj
90,404,акарин,akarin,темный,adj
91,416,активнай,aktiwnaj,активный,adj
92,429,алам,alam,ласковый,adj
93,431,алан,alan,горный,adj
94,446,алгалкан,algalkan,беременная,adj
95,470,аликӈи,alikŋi,посудный,adj
96,491,алла̄н,allan,аккуратный,adj
97,504,алӈала̄тты,alŋalattɨ,рогатый,adj
98,505,алӈа̄с,alŋas,роговой,adj
99,517,а̄лтиӈи,altiŋi,кривобокий,adj
100,599,а̄мач,amač,заметно,adj
101,577,амарда,amarda,задняя,adj
102,570,амаргаг,amargag,задний,adj
103,571,амаргагчан,amargagčan,задний,adj
104,572,амаргиг,amargig,задний,adj
105,586,амаркана,amarkana,дикий.4.года,adj
106,593,ама̄с,amas,склонный.к.шаманству,adj
107,607,амбулаторнай,ambulatornaj,амбулаторный,adj
108,608,а̄мди,amďi,заметный,adj
109,612,амилан,amilan,смешанный,adj
110,617,амкачака̄г,amkačakag,холмистая,adj
111,624,амӈагды,amŋagdɨ,большеротый,adj
112,628,амӈари,amŋari,общительный,adj
113,636,амрак,amrak,скорый,adj
114,643,амталкан,amtalkan,вкусный,adj
115,644,амталкань,amtalkan',вкусно,adj
116,688,а̄н,an,остальной,adj
117,689,а̄н,an,правый,adj
118,722,анеӈ,an'eŋ,горный,adj
119,699,анаӈа,anaŋa,годовалый,adj
120,796,анчипа,ančipa,белощекий,adj
121,701,а̄нгаг,angag,правый,adj
122,711,а̄нгидан,angidan,правая,adj
123,723,а̄ни,ani,нарядный,adj
124,740,анилатты,anilattɨ,нарядный,adj
125,741,а̄ним,anim,дымно,adj
126,768,анӈамта,anŋamta,новый,adj
127,771,анӈанирап,anŋanirap,годовой,adj
128,774,анӈат,anŋat,правый,adj
129,785,анум,anum,душный,adj
130,788,анумка̄тты,anumkattɨ,удушливый,adj
131,793,анунь,anun',удушливо,adj
132,794,анус,anus,душный,adj
133,804,а̄ӈ,aŋ,бедренная,adj
134,819,аӈаналдывун,aŋanaldɨwun,швейный,adj
135,830,аӈаралкан,aŋaralkan,дырявый,adj
136,832,аӈарамнан,aŋaramnan,дырявый,adj
137,837,аӈили,aŋili,иной,adj
138,840,аӈра,aŋra,темный,adj
139,847,аӈтаку,aŋtaku,тупоумный,adj
140,889,араган,aragan,открытый,adj
141,912,арами,arami,влюбленная,adj
142,924,арбан,arban,самый.острый,adj
143,929,арбукун,arbukun,мелкое,adj
144,932,арбутла,arbutla,засохшее,adj
145,942,арилатты,arilattɨ,сознательный,adj
146,969,арулча,arulča,пьяный,adj
147,973,арунь,arun',головокружительный,adj
148,997,а̄сан,asan,обидчивый,adj
149,999,а̄санаган,asanagan,обидчивый,adj
150,1043,а̄счимаган,asčimagan,любознательный,adj
151,1004,асиди,asiďi,женский,adj
152,1007,асикни,asikni,недавний,adj
153,1008,асилкан,asilkan,женатый,adj
154,1014,асисач,asisač,чванливая,adj
155,1041,асутнари,asutnari,суетливый,adj
156,1064,а̄тар,atar,темный,adj
157,1071,а̄тарси,atarsi,темный,adj
158,1100,атыкалкан,atɨkalkan,женатый,adj
159,1103,а̄тыпча,atɨpča,холощеный,adj
160,185,авъяк,awъjak,храбрый,adj
161,66,а̄ваич,awaič,умело,adj
162,63,а̄ваидмар,awaidmar,умнее,adj
163,181,а̄вча,awča,известный,adj
164,85,авдачилан,awdačilan,заботливый,adj
165,83,авдатты,awdattɨ,заботливый,adj
166,96,авка,awka,хитрый,adj
167,113,авку,awku,привычный,adj
168,118,авмия,awmija,старая.шапка,adj
169,125,а̄ври,awri,известный,adj
170,138,автомобилимда,awtomobilimda,автомобильный,adj
171,1986,бя̄галкан,b'agalkan,лунный,adj
172,1987,бя̄галтан,b'agaltan,лунный,adj
173,1993,бянача,b'anača,пьяный,adj
174,1991,бянай,b'anaj,пьяный,adj
175,1376,безличнай,b'ezličnaj,безличный,adj
176,1622,бөкчэкэ,bɵkčeke,горбатый,adj
177,1621,бөкчэку,bɵkčeku,сгорбленный,adj
178,1626,бөкчэне,bɵkčen'e,сутулый,adj
179,1630,бөкчэрэ,bɵkčere,сгорбленный,adj
180,1631,бөкэне,bɵken'e,сутулый,adj
181,1633,бөкэсэлкэн,bɵkeselken,ледяной,adj
182,1634,бө̄лэн,bɵlen,щедрый,adj
183,1641,бөӈкэчэкэг,bɵŋkečekeg,бугристое,adj
184,1638,бөӈкэнэ,bɵŋkene,бугристый,adj
185,1643,бө̄ссэ,bɵsse,щедрый,adj
186,1183,бади,baďi,ранний,adj
187,1187,бадир,baďir,ранний,adj
188,1188,бадирамда,baďiramda,ранний,adj
189,1206,бады,badɨ,бесстыжий,adj
190,1199,бадусак,badusak,верховой,adj
191,1209,ба̄и,bai,ясный,adj
192,1210,ба̄и,bai,ясный,adj
193,1212,ба̄ич,baič,ясно,adj
194,1211,ба̄инра,bainra,ясный,adj
195,1213,ба̄йи,baji,ясный,adj
196,1216,байкунадяк,bajkunaďak,старинная,adj
197,1225,бакалан,bakalan,находчивый,adj
198,1238,бакар,bakar,скользкий,adj
199,1268,балдалан,baldalan,всхожий,adj
200,1270,балдамат,baldamat,новорожденный,adj
201,1281,балика̄ч,balikač,слепой,adj
202,1284,балика̄чимрин,balikačimrin,подслеповатый,adj
203,1287,балтарки,baltarki,скользкий,adj
204,1291,ба̄н,ban,ленивый,adj
205,1304,ба̄нюк,ban'uk,упрямый,adj
206,1293,ба̄нач,banač,лениво,adj
207,1295,ба̄никан,banikan,неохотно,adj
208,1315,баран,baran,глубокий,adj
209,1317,баргаг,bargag,находящийся.на.той.стороне,adj
210,1360,ба̄тур,batur,храбрый,adj
211,1981,бэчэӈэ,bečeŋe,хромой,adj
212,1879,бэимдэ,beimde,предназначенный.для.людей,adj
213,1882,бэиӈ,beiŋ,наемный,adj
214,1883,бэиӈэн,beiŋen,наемный,adj
215,1909,бэйчилдывун,bejčildɨwun,промысловое,adj
216,1888,бэйди,bejďi,сам,adj
217,1889,бэйдюр,bejďur,сами,adj
218,1893,бэйкэе,bejkeje,большой.человек,adj
219,1926,бэкэч,bekeč,целый,adj
220,1929,бэкэчэн,bekečen,целый,adj
221,1913,бэ̄кэл,bekel,отдельный,adj
222,1914,бэ̄кэлтэ,bekelte,отдельный,adj
223,1953,бэргэ,berge,жирный,adj
224,1979,бэтэкэ,beteke,уродливый,adj
225,1392,бибгэн,bibgen,удобный,adj
226,1467,бичэ̄гчимит,bičegčimit,прежний,adj
227,1469,бичэко̄с,bičekos,високосная,adj
228,1476,биялгагчин,bijalgagčin,волнистый,adj
229,1478,биялгалкан,bijalgalkan,волнующийся,adj
230,1418,билгалкан,bilgalkan,имеющий.шею,adj
231,1420,билгур,bilgur,жадный,adj
232,1428,бимнэн,bimnen,должно.быть,adj
233,1434,биннэ,binne,требуемый,adj
234,1439,бипкэ,bipke,крепкий,adj
235,1441,биравна,birawna,бревно,adj
236,1445,бӣрбакан,birbakan,мелкий,adj
237,1446,бӣрбаня,birban'a,мелкий,adj
238,1447,бӣрбата,birbata,мелкий,adj
239,1463,битлэ̄,bitle,бывший,adj
240,1400,бивкэтти,biwketti,местный,adj
241,1486,бобиӈи,bobiŋi,сморщенный,adj
242,1505,бодурука,boduruka,кудрявый,adj
243,1537,болар,bolar,осенний,adj
244,1548,болгисач,bolgisač,капризный,adj
245,1555,бомбэргин,bombergin,неловкий,adj
246,1591,боскилкан,boskilkan,очкастый,adj
247,1650,бӯбыди,bubɨďi,бесполезные,adj
248,1807,бучукча,bučukča,сухой,adj
249,1665,буди,buďi,птичье,adj
250,1667,бӯдиндя,buďinďa,пестрый,adj
251,1675,бӯды,budɨ,пестрый,adj
252,1672,будули,buduli,шероховатый,adj
253,1673,будуликаг,budulikag,шероховатое,adj
254,1660,бугулкан,bugulkan,холмистый,adj
255,1680,буиг,buig,лесной,adj
256,1814,буюн,bujun,дикий,adj
257,1828,буюсэбгэн,bujusebgen,доступный.для.охоты,adj
258,1831,буюсэлдывун,bujuseldɨwun,охотничье,adj
259,1833,буюсэмдэ,bujusemde,охотничий,adj
260,1706,булдар,buldar,слизисто.влажный,adj
261,1707,булдир,bulďir,скользкий,adj
262,1710,булдурга,buldurga,ровный,adj
263,1713,булдути,bulduti,ровная,adj
264,1727,булӈие,bulŋije,смутный,adj
265,1738,булусач,bulusač,жалостливо,adj
266,1759,буӈнюлимкар,buŋn'ulimkar,большой.круглый,adj
267,1760,буӈтули,buŋtuli,шарообразный,adj
268,1762,буӈтуня,buŋtun'a,выпуклый,adj
269,1771,бургитлэ,burgitle,восточный,adj
270,1778,буркуня,burkun'a,Светлошерстный,adj
271,1786,бускилка̄н,buskilkan,очкастый,adj
272,1787,бусук,busuk,похоронная,adj
273,1788,бусукат,busukat,светлая,adj
274,1794,бӯтаку,butaku,разбитый,adj
275,1799,бутэ̄к,butek,болезненный,adj
276,1654,бувуч,buwuč,бедный,adj
277,13470,чө̄ргути,čɵrguti,прямой,adj
278,13044,ча̄г,čag,дальний,adj
279,13048,ча̄гарап,čagarap,прошлый,adj
280,13064,ча̄йимдя,čajimďa,чайный,adj
281,13066,ча̄йирук,čajiruk,чайная,adj
282,13097,ча̄круча,čakruča,завистливый,adj
283,13096,ча̄крури,čakruri,завистливый,adj
284,13099,чакти,čakti,бойкий,adj
285,13109,чакути,čakuti,ладный,adj
286,13122,ча̄май,čamaj,самый,adj
287,13143,ча̄с,čas,долой,adj
288,13603,чэлэ,čele,большой,adj
289,13608,чэ̄лэдукун,čeledukun,самый.из.всех,adj
290,13592,чэлгэку,čelgeku,сломанный,adj
291,13599,чэлки,čelki,скупой,adj
292,13616,чэмэлкэн,čemelken,ветвистый,adj
293,13250,чикэр,čiker,жизнестойкий,adj
294,13243,чикти,čikti,бойкий,adj
295,13244,чикты,čiktɨ,смелый,adj
296,13282,чӣльча,čilča,спутанные,adj
297,13283,чӣльчи,čilči,спутанные,adj
298,13260,чилдукач,čildukač,кочковатое,adj
299,13268,чӣлиндача,čilindača,полосатый,adj
300,13280,чилкин,čilkin,жадный,adj
301,13304,чӣмэтэлкэн,čimetelken,очкастый,adj
302,13313,чиндэне,činden'e,пушистый,adj
303,13318,чӣӈэтэ,čiŋete,визгливый,adj
304,13329,чипчути,čipčuti,частый,adj
305,13337,чӣрика,čirika,белоснежный ,adj
306,13346,чӣстаду,čistadu,начисто,adj
307,13203,чивечча,čiw'ečča,эвенский,adj
308,13155,че̄имдэ,čjeimde,посевной,adj
309,13167,челкин,čjelkin,жадный,adj
310,13182,чётнай,čjotnaj,чётный,adj
311,13371,чокаррон,čokarron,веко,adj
312,13409,чораня,čoran'a,мягкий,adj
313,13413,чо̄ргути,čorguti,прямой,adj
314,13494,чӯкча,čukča,чукча,adj
315,13498,чӯлаӈра,čulaŋra,мокрый,adj
316,13500,чӯлбаня,čulban'a,зеленый,adj
317,13502,чӯлбаняста,čulban'asta,зеленоватый,adj
318,13524,чуӈа̄ти,čuŋati,звонкий,adj
319,13526,чуӈгун,čuŋgun,глубокий,adj
320,13542,чупути,čuputi,узкий,adj
321,13553,чӯрика,čurika,белый.олень,adj
322,13555,чурила̄вун,čurilawun,суеверный,adj
323,13576,чӯсэлкэн,čuselken,сочный,adj
324,13577,чӯсэпчун,čusepčun,сочный,adj
325,13579,чутаня,čutan'a,желтоватый,adj
326,13580,чӯтаня,čutan'a,влажный,adj
327,3233,дөй,dɵj,мягкий,adj
328,3243,дөлбэ,dɵlbe,спокойный,adj
329,3245,дӫлбэр,dӫlber,мягкий,adj
330,3254,дөмӈэткэн,dɵmŋetken,живущий.в.глубине.материка.тайге,adj
331,3255,дөндыткын,dɵndɨtkɨn,таежный,adj
332,3261,дө̄ӈтэр,dɵŋter,твердый,adj
333,3264,дӫ̄р,dӫr,двухсотый,adj
334,3279,дӫ̄ритэн,dӫriten,двенадцатый,adj
335,3282,дӫ̄рмягитан,dӫrm'agitan,двадцатый,adj
336,3281,дө̄рмэн,dɵrmen,двойной,adj
337,3280,дӫ̄рмэн,dӫrmen,надвое,adj
338,3300,дӫ̄тэлди,dӫtelďi,попарно,adj
339,2680,да̄,da,сват,adj
340,3910,дя,ďa,родной,adj
341,3912,дя̄,ďa,кровный.родственник,adj
342,2691,дабдука̄лкан,dabdukalkan,выигрышный,adj
343,3971,дядьга,ďaďga,голый,adj
344,2757,даган,dagan,свежий.след,adj
345,2759,дагар,dagar,свежий,adj
346,2763,дагрит,dagrit,временный,adj
347,4062,дяюдь,ďajuď,спрятанный,adj
348,4067,дяютты,ďajuttɨ,спрятавшийся,adj
349,3980,дялач,ďalač,смирный,adj
350,3978,дялалкан,ďalalkan,удачный,adj
351,2782,да̄лга,dalga,похабный,adj
352,2783,далгас,dalgas,прожорливый,adj
353,3983,дялгуг,ďalgug,каменистое.место,adj
354,2791,да̄ли,dali,близкий,adj
355,2794,да̄лидмар,dalidmar,ближайший,adj
356,2808,далра,dalra,вкусный,adj
357,3994,дялсалкан,ďalsalkan,слюнявый,adj
358,2815,далси,dalsi,сладкий,adj
359,2818,да̄лталкан,daltalkan,слоистый,adj
360,4011,дялучак,ďalučak,сытая.пора,adj
361,4007,дялур,ďalur,ненасытный,adj
362,4009,дялуттыч,ďaluttɨč,сытно,adj
363,4021,дяпкаду,ďapkadu,справедливо,adj
364,4025,дяпкалкан,ďapkalkan,правдивый,adj
365,4026,дяпкалкан,ďapkalkan,щелистый,adj
366,4043,дяпки,ďapki,восьмой,adj
367,4044,дяпкис,ďapkis,восьмой,adj
368,4045,дяпкитан,ďapkitan,восьмой,adj
369,2828,да̄рамач,daramač,напрасно,adj
370,4060,дяталкан,ďatalkan,ядовитый,adj
371,3916,дява,ďawa,земное,adj
372,3925,дявалдань,ďawaldan',врукопашную,adj
373,3956,дявулдань,ďawuldan',врукопашную,adj
374,2727,да̄вувки,dawuwki,заразный,adj
375,2883,дебэмдэ,ďebemde,пищевой,adj
376,2886,дебэмэ-э,ďebeme-e,голодно,adj
377,2885,дебэмси,ďebemsi,голодный,adj
378,2894,дебэӈкэ,ďebeŋke,пищевой,adj
379,2897,дебэпти,ďebepti,съедобный,adj
380,2867,дебукэлкэн,ďebukelken,ядовитый,adj
381,3578,дэбули,debuli,лохматый,adj
382,3612,дэгэлдывун,degeldɨwun,летательный,adj
383,3616,дэгэмдэ,degemde,лётный,adj
384,2928,дегэндэ,ďegende,левый,adj
385,2926,дегэнгэг,ďegengeg,левый,adj
386,2919,дегэнгидэ,ďegengide,левая.сторона,adj
387,2913,дегиндэ,ďeginde,левая.часть,adj
388,3607,дэгусмэгэн,degusmegen,летучий,adj
389,3624,дэи,dei,береговой,adj
390,3625,дэ̄и,dei,верхний,adj
391,3627,дэйдэ-н,dejde-n,находящийся.на.горе,adj
392,3639,дэлбэри,delberi,равнодушный,adj
393,2988,делдяӈи,ďelďaŋi,кривой,adj
394,3643,дэ̄лдэку,deldeku,расколотый,adj
395,3677,дэ̄лэ,dele,открытый,adj
396,2997,делэд,ďeled,чистое.небо,adj
397,3679,дэ̄лэк,delek,мирный,adj
398,3673,дэлмичэ,delmiče,свободный,adj
399,3668,дэлмилкэн,delmilken,вольный,adj
400,3672,дэлмири,delmiri,свободный,adj
401,3001,дем,ďem,голодный,adj
402,3027,демэ̄,ďeme,голодно,adj
403,3680,дэ̄мӈэ,demŋe,широкий,adj
404,3023,демократическай,ďemokratičjeskaj,демократический,adj
405,3026,демси,ďemsi,голодный,adj
406,3689,дэ̄нэкэн,deneken,энэкэн,adj
407,3039,денӈэпэн,ďenŋepen,головной.убор.женский.праздничный,adj
408,3062,депкич,ďepkič,съедобный,adj
409,3064,деплэмдэ,ďeplemde,продовольственный,adj
410,3070,депутатмия,ďeputatmija,бывший.депутат,adj
411,3724,дэрэмкэчэ,deremkeče,мертвый,adj
412,3087,десятичнай,ďes'atičnaj,десятичный,adj
413,3743,дэ̄тлэлкэн,detlelken,крылатый,adj
414,3589,дэвусмэгэн,dewusmegen,летучий,adj
415,2951,дежурнэй,ďežurnej,дежурный,adj
416,3123,дичэй,ďičej,бешеный,adj
417,3112,диньде,ďin'ďe,огромный,adj
418,3117,дипкуты,ďipkutɨ,плотный,adj
419,3514,дылэгдэ,dɨlegde,большеголовый,adj
420,3493,дылгалка̄н,dɨlgalkan,голосистый,adj
421,3496,дылгур,dɨlgur,звучный,adj
422,3497,дылгурач,dɨlgurač,звучно,adj
423,3510,дылӈие,dɨlŋije,тупой,adj
424,3515,дынмэк,dɨnmek,неподдающийся,adj
425,3516,ды̄ӈаку,dɨŋaku,крепкий,adj
426,3522,ды̄ӈти,dɨŋti,густой,adj
427,3530,дыпрэ,dɨpre,крепкий,adj
428,3533,дырам,dɨram,толстый,adj
429,3541,дырамкакан,dɨramkakan,толстенький,adj
430,3548,дырэлчилэн,dɨrelčilen,гулкий,adj
431,3551,дырэлэлкэн,dɨrelelken,гулкий,adj
432,3554,дырэне,dɨren'e,гулкий,adj
433,3567,дысучиннэ,dɨsučinne,обороноспособный,adj
434,3561,дысуттэ,dɨsutte,защищающий,adj
435,3560,дысутти,dɨsutti,защищающий,adj
436,2890,дёбэнӈэ,ďobenŋe,строгий,adj
437,2872,дёбутур,ďobutur,жадный,adj
438,2938,дёданамда,ďodanamda,богатый,adj
439,2939,дёданамда,ďodanamda,вещевой,adj
440,2940,дёданамра,ďodanamra,вещевой,adj
441,2941,дёданапчи,ďodanapči,имущий,adj
442,2942,дёданапчун,ďodanapčun,богатый,adj
443,3137,до̄г,dog,внутренний,adj
444,3140,до̄гар,dogar,внутренний,adj
445,2915,дёгри,ďogri,бедный,adj
446,3158,докаламча,dokalamča,пушистый,adj
447,3162,до̄клан,doklan,хромой.животное,adj
448,2966,дёкуты,ďokutɨ,верный,adj
449,2972,дёлак,ďolak,возлюбленный,adj
450,2973,дёлака̄г,ďolakag,каменистое,adj
451,3176,долбанирып,dolbanirɨp,ночной,adj
452,3178,долбар,dolbar,ночной,adj
453,2976,дёлбэр,ďolber,мягкий,adj
454,3185,долбуча,dolbuča,запоздалый,adj
455,3201,долчилан,dolčilan,внимательный,adj
456,3192,долдан,doldan,чуткий,adj
457,3196,до̄лдывун,doldɨwun,посадочный,adj
458,3002,дём,ďom,голодный,adj
459,3033,дёмэч,ďomeč,голодно,adj
460,3021,дёмкэнь,ďomken',голодно,adj
461,3208,донрэткэн,donretken,живущий.в.глубине.материка,adj
462,3053,дё̄ӈчан,ďoŋčan,памятливый,adj
463,3056,дё̄ӈчилдывун,ďoŋčildɨwun,подаренное.на.память,adj
464,3212,доӈканя,doŋkan'a,выпуклый,adj
465,3078,дёрка,ďorka,быстрый,adj
466,3081,дёрминамрин,ďorminamrin,вороватый,adj
467,3215,доро̄ва,dorowa,здорово,adj
468,3750,дюбукэлкэн,ďubukelken,ядовитый,adj
469,3320,дудыка,dudɨka,верхняя,adj
470,3776,дюгар,ďugar,летний,adj
471,3777,дюгарап,ďugarap,летний,adj
472,3780,дюгасадяк,ďugasaďak,летняя,adj
473,3781,дюгасак,ďugasak,летняя,adj
474,3796,дюгур,ďugur,летний,adj
475,3819,дюир,ďuir,кислый,adj
476,3325,дуй,duj,мягкий,adj
477,3438,дуялкан,dujalkan,шумный,adj
478,3821,дюк,ďuk,плотный,adj
479,3822,дю̄кагча,ďukagča,бисерный.онамент.изображающий.чум,adj
480,3330,дукалан,dukalan,грамотный,adj
481,3332,дукамда,dukamda,письменный,adj
482,3352,дукунь,dukun',письменно,adj
483,3358,дулак,dulak,средний,adj
484,3832,дюла̄ккан,ďulakkan,голый,adj
485,3366,дулам,dulam,тихий.не.занятый.делом,adj
486,3367,дуламач,dulamač,тихо.без.дела,adj
487,3372,дулба,dulba,спокойный,adj
488,3867,дюлэг,ďuleg,передний,adj
489,3871,дюлэп,ďulep,передний,adj
490,3874,дюлэ̄скимдэ,ďuleskimde,будущий,adj
491,3882,дю̄мда,ďumda,домашний,adj
492,3886,дю̄ндя,ďunďa,большой.дом,adj
493,3887,дюндяка,ďunďaka,голый,adj
494,3385,дундэткэн,dundetken,таежный,adj
495,3893,дюпти,ďupti,двойной,adj
496,3896,дюптисаг,ďuptisag,двойной,adj
497,3413,дурчэмие,durčemije,обгоревший.давно,adj
498,3425,дурэтлэ,duretle,обгорелый,adj
499,3395,дуримдэ,durimde,пожарный,adj
500,3900,дюрку,ďurku,быстрое.течение,adj
501,3427,дӯс,dus,глубокий,adj
502,3904,дю̄сач,ďusač,домовитый,adj
503,3432,дутучипчэ,dutučipče,жженый,adj
504,3761,дювур,ďuwur,летний,adj
505,3763,дювурап,ďuwurap,летний,adj
506,13679,эбдекэдемдэ,ebďekeďemde,праздничный,adj
507,13685,эбдемкэтты,ebďemkettɨ,увлекательный,adj
508,13688,эбдени,ebďeni,радостный,adj
509,13689,эбденич,ebďenič,радостно,adj
510,13692,эбдэнрэлкэн,ebdenrelken,лиственный,adj
511,14699,эчэпкикэн,ečepkiken,мелкие,adj
512,14695,эчукэтты,ečukettɨ,утомительный,adj
513,14696,эчус,ečus,утомительный,adj
514,14697,эчус-э̄,ečus-e,трудно,adj
515,14698,эчусэч,ečuseč,утомительно,adj
516,13880,эдэлкэн,edelken,ветреный,adj
517,13883,эдэмдэ,edemde,предназначенный,adj
518,13852,э̄ден,eďen,коллективная,adj
519,13895,эдэнрэ,edenre,ветреный,adj
520,13855,э̄дери,eďeri,пляшущий,adj
521,13896,э̄дэтэ,edete,брезгливый,adj
522,13847,эдгич,edgič,нижний,adj
523,13857,эди,eďi,нижний,adj
524,13859,эдилкэн,eďilken,замужняя,adj
525,13873,э̄дуӈи,eduŋi,хриплый,adj
526,13817,эгдэ,egde,большая,adj
527,13831,эгдэч,egdeč,большей,adj
528,13822,эгдэкэе,egdekeje,огромный,adj
529,13820,эгдэку,egdeku,разорванный,adj
530,13799,эгделбукэтты,egďelbukettɨ,увеличивающий,adj
531,13808,эгде̄мкэр,egďemker,огромный,adj
532,13809,эгден,egďen,большой,adj
533,13811,эгденде,egďenďe,огромный,adj
534,13812,эгденрэг,egďenreg,громадный,adj
535,13813,эгдеӈэтэн,egďeŋeten,самый.большой,adj
536,13814,эгдепчи,egďepči,крупный,adj
537,13840,э̄гэмэч,egemeč,напрасно,adj
538,13845,эгэрэ,egere,жадный,adj
539,13838,эгтэлкэн,egtelken,ветвистый,adj
540,13839,эгтэми,egtemi,старые.ветки,adj
541,13941,эир,eir,бойкий,adj
542,13944,э̄йду,ejdu,надежный,adj
543,13910,э̄ек,ejek,злой,adj
544,13915,э̄екэч,ejekeč,важный,adj
545,13917,э̄екэчич,ejekečič,важно,adj
546,13912,э̄екти,ejekti,корякский,adj
547,13928,эемэчидды,ejemečiddɨ,плавающий,adj
548,13930,эе̄ни,ejeni,текучий,adj
549,13932,эе̄рдэ,ejerde,быстрый,adj
550,13938,эетты,ejettɨ,надеющийся,adj
551,13907,эевӈи,ejewŋi,уважаемый,adj
552,13909,эевӈич,ejewŋič,надежно,adj
553,14707,эюм,ejum,легкий,adj
554,14708,эюмкудмэр,ejumkudmer,дешевле,adj
555,14714,эюмкун,ejumkun,легкий,adj
556,14715,эюмкунь,ejumkun',легко,adj
557,13978,экэ̄,eke,старшая,adj
558,13998,экэчэ,ekeče,пожилая,adj
