,base_new,base_lat,transl,POS
296,аидмар,aidmar,лучше,adj
304,аиӈ,aiŋ,быстрый,adj
305,аиӈатан,aiŋatan,наилучший,adj
315,ай,aj,хороший,adj
1167,аяр,ajar,потусторонний,adj
1157,ая̄вматникан,ajawmatnikan,дружно,adj
1160,ая̄вна,ajawna,возлюбленный,adj
366,айчакан,ajčakan,хорошо,adj
370,айчилдывун,ajčildɨwun,спасательный,adj
321,айиӈ,ajiŋ,быстрый,adj
356,айӈучич,ajŋučič,ласково,adj
359,айсач,ajsač,бережливый,adj
379,ак,ak,глухой,adj
384,акадмар,akadmar,старший,adj
404,акарин,akarin,темный,adj
416,активнай,aktiwnaj,активный,adj
429,алам,alam,ласковый,adj
431,алан,alan,горный,adj
446,алгалкан,algalkan,беременная,adj
470,аликӈи,alikŋi,посудный,adj
491,алла̄н,allan,аккуратный,adj
504,алӈала̄тты,alŋalattɨ,рогатый,adj
505,алӈа̄с,alŋas,роговой,adj
517,а̄лтиӈи,altiŋi,кривобокий,adj
599,а̄мач,amač,заметно,adj
577,амарда,amarda,задняя,adj
570,амаргаг,amargag,задний,adj
571,амаргагчан,amargagčan,задний,adj
572,амаргиг,amargig,задний,adj
586,амаркана,amarkana,дикий.4.года,adj
593,ама̄с,amas,склонный.к.шаманству,adj
607,амбулаторнай,ambulatornaj,амбулаторный,adj
608,а̄мди,amďi,заметный,adj
612,амилан,amilan,смешанный,adj
617,амкачака̄г,amkačakag,холмистая,adj
624,амӈагды,amŋagdɨ,большеротый,adj
628,амӈари,amŋari,общительный,adj
636,амрак,amrak,скорый,adj
643,амталкан,amtalkan,вкусный,adj
644,амталкань,amtalkan',вкусно,adj
688,а̄н,an,остальной,adj
689,а̄н,an,правый,adj
722,анеӈ,an'eŋ,горный,adj
699,анаӈа,anaŋa,годовалый,adj
796,анчипа,ančipa,белощекий,adj
701,а̄нгаг,angag,правый,adj
711,а̄нгидан,angidan,правая,adj
723,а̄ни,ani,нарядный,adj
740,анилатты,anilattɨ,нарядный,adj
741,а̄ним,anim,дымно,adj
768,анӈамта,anŋamta,новый,adj
771,анӈанирап,anŋanirap,годовой,adj
774,анӈат,anŋat,правый,adj
785,анум,anum,душный,adj
788,анумка̄тты,anumkattɨ,удушливый,adj
793,анунь,anun',удушливо,adj
794,анус,anus,душный,adj
804,а̄ӈ,aŋ,бедренная,adj
819,аӈаналдывун,aŋanaldɨwun,швейный,adj
830,аӈаралкан,aŋaralkan,дырявый,adj
832,аӈарамнан,aŋaramnan,дырявый,adj
837,аӈили,aŋili,иной,adj
840,аӈра,aŋra,темный,adj
847,аӈтаку,aŋtaku,тупоумный,adj
889,араган,aragan,открытый,adj
912,арами,arami,влюбленная,adj
924,арбан,arban,самый.острый,adj
929,арбукун,arbukun,мелкое,adj
932,арбутла,arbutla,засохшее,adj
942,арилатты,arilattɨ,сознательный,adj
969,арулча,arulča,пьяный,adj
973,арунь,arun',головокружительный,adj
997,а̄сан,asan,обидчивый,adj
999,а̄санаган,asanagan,обидчивый,adj
1043,а̄счимаган,asčimagan,любознательный,adj
1004,асиди,asiďi,женский,adj
1007,асикни,asikni,недавний,adj
1008,асилкан,asilkan,женатый,adj
1014,асисач,asisač,чванливая,adj
1041,асутнари,asutnari,суетливый,adj
1064,а̄тар,atar,темный,adj
1071,а̄тарси,atarsi,темный,adj
1100,атыкалкан,atɨkalkan,женатый,adj
1103,а̄тыпча,atɨpča,холощеный,adj
185,авъяк,awjak,храбрый,adj
66,а̄ваич,awaič,умело,adj
63,а̄ваидмар,awaidmar,умнее,adj
181,а̄вча,awča,известный,adj
85,авдачилан,awdačilan,заботливый,adj
83,авдатты,awdattɨ,заботливый,adj
96,авка,awka,хитрый,adj
113,авку,awku,привычный,adj
118,авмия,awmija,старая.шапка,adj
125,а̄ври,awri,известный,adj
138,автомобилимда,awtomobilimda,автомобильный,adj
1986,бя̄галкан,b'agalkan,лунный,adj
1987,бя̄галтан,b'agaltan,лунный,adj
1993,бянача,b'anača,пьяный,adj
1991,бянай,b'anaj,пьяный,adj
1376,безличнай,b'ezličnaj,безличный,adj
1622,бөкчэкэ,bөkčeke,горбатый,adj
1621,бөкчэку,bөkčeku,сгорбленный,adj
1626,бөкчэне,bөkčen'e,сутулый,adj
1630,бөкчэрэ,bөkčere,сгорбленный,adj
1631,бөкэне,bөken'e,сутулый,adj
1633,бөкэсэлкэн,bөkeselken,ледяной,adj
1634,бө̄лэн,bөlen,щедрый,adj
1641,бөӈкэчэкэг,bөŋkečekeg,бугристое,adj
1638,бөӈкэнэ,bөŋkene,бугристый,adj
1643,бө̄ссэ,bөsse,щедрый,adj
1183,бади,baďi,ранний,adj
1187,бадир,baďir,ранний,adj
1188,бадирамда,baďiramda,ранний,adj
1206,бады,badɨ,бесстыжий,adj
1199,бадусак,badusak,верховой,adj
1209,ба̄и,bai,ясный,adj
1210,ба̄и,bai,ясный,adj
1212,ба̄ич,baič,ясно,adj
1211,ба̄инра,bainra,ясный,adj
1213,ба̄йи,baji,ясный,adj
1216,байкунадяк,bajkunaďak,старинная,adj
1225,бакалан,bakalan,находчивый,adj
1238,бакар,bakar,скользкий,adj
1268,балдалан,baldalan,всхожий,adj
1270,балдамат,baldamat,новорожденный,adj
1281,балика̄ч,balikač,слепой,adj
1284,балика̄чимрин,balikačimrin,подслеповатый,adj
1287,балтарки,baltarki,скользкий,adj
1291,ба̄н,ban,ленивый,adj
1304,ба̄нюк,ban'uk,упрямый,adj
1293,ба̄нач,banač,лениво,adj
1295,ба̄никан,banikan,неохотно,adj
1315,баран,baran,глубокий,adj
1317,баргаг,bargag,находящийся.на.той.стороне,adj
1360,ба̄тур,batur,храбрый,adj
1981,бэчэӈэ,bečeŋe,хромой,adj
1879,бэимдэ,beimde,предназначенный.для.людей,adj
1882,бэиӈ,beiŋ,наемный,adj
1883,бэиӈэн,beiŋen,наемный,adj
1909,бэйчилдывун,bejčildɨwun,промысловое,adj
1888,бэйди,bejďi,сам,adj
1889,бэйдюр,bejďur,сами,adj
1893,бэйкэе,bejkeje,большой.человек,adj
1926,бэкэч,bekeč,целый,adj
1929,бэкэчэн,bekečen,целый,adj
1913,бэ̄кэл,bekel,отдельный,adj
1914,бэ̄кэлтэ,bekelte,отдельный,adj
1953,бэргэ,berge,жирный,adj
1979,бэтэкэ,beteke,уродливый,adj
1392,бибгэн,bibgen,удобный,adj
1467,бичэ̄гчимит,bičegčimit,прежний,adj
1469,бичэко̄с,bičekos,високосная,adj
1476,биялгагчин,bijalgagčin,волнистый,adj
1478,биялгалкан,bijalgalkan,волнующийся,adj
1418,билгалкан,bilgalkan,имеющий.шею,adj
1420,билгур,bilgur,жадный,adj
1428,бимнэн,bimnen,должно.быть,adj
1434,биннэ,binne,требуемый,adj
1439,бипкэ,bipke,крепкий,adj
1441,биравна,birawna,бревно,adj
1445,бӣрбакан,birbakan,мелкий,adj
1446,бӣрбаня,birban'a,мелкий,adj
1447,бӣрбата,birbata,мелкий,adj
1463,битлэ̄,bitle,бывший,adj
1400,бивкэтти,biwketti,местный,adj
1486,бобиӈи,bobiŋi,сморщенный,adj
1505,бодурука,boduruka,кудрявый,adj
1537,болар,bolar,осенний,adj
1548,болгисач,bolgisač,капризный,adj
1555,бомбэргин,bombergin,неловкий,adj
1591,боскилкан,boskilkan,очкастый,adj
1650,бӯбыди,bubɨďi,бесполезные,adj
1807,бучукча,bučukča,сухой,adj
1665,буди,buďi,птичье,adj
1667,бӯдиндя,buďinďa,пестрый,adj
1675,бӯды,budɨ,пестрый,adj
1672,будули,buduli,шероховатый,adj
1673,будуликаг,budulikag,шероховатое,adj
1660,бугулкан,bugulkan,холмистый,adj
1680,буиг,buig,лесной,adj
1814,буюн,bujun,дикий,adj
1828,буюсэбгэн,bujusebgen,доступный.для.охоты,adj
1831,буюсэлдывун,bujuseldɨwun,охотничье,adj
1833,буюсэмдэ,bujusemde,охотничий,adj
1706,булдар,buldar,слизисто.влажный,adj
1707,булдир,bulďir,скользкий,adj
1710,булдурга,buldurga,ровный,adj
1713,булдути,bulduti,ровная,adj
1727,булӈие,bulŋije,смутный,adj
1738,булусач,bulusač,жалостливо,adj
1759,буӈнюлимкар,buŋn'ulimkar,большой.круглый,adj
1760,буӈтули,buŋtuli,шарообразный,adj
1762,буӈтуня,buŋtun'a,выпуклый,adj
1771,бургитлэ,burgitle,восточный,adj
1778,буркуня,burkun'a,Светлошерстный,adj
1786,бускилка̄н,buskilkan,очкастый,adj
1787,бусук,busuk,похоронная,adj
1788,бусукат,busukat,светлая,adj
1794,бӯтаку,butaku,разбитый,adj
1799,бутэ̄к,butek,болезненный,adj
1654,бувуч,buwuč,бедный,adj
13470,чө̄ргути,čөrguti,прямой,adj
13044,ча̄г,čag,дальний,adj
13048,ча̄гарап,čagarap,прошлый,adj
13064,ча̄йимдя,čajimďa,чайный,adj
13066,ча̄йирук,čajiruk,чайная,adj
13097,ча̄круча,čakruča,завистливый,adj
13096,ча̄крури,čakruri,завистливый,adj
13099,чакти,čakti,бойкий,adj
13109,чакути,čakuti,ладный,adj
13122,ча̄май,čamaj,самый,adj
13143,ча̄с,čas,долой,adj
13603,чэлэ,čele,большой,adj
13608,чэ̄лэдукун,čeledukun,самый.из.всех,adj
13592,чэлгэку,čelgeku,сломанный,adj
13599,чэлки,čelki,скупой,adj
13616,чэмэлкэн,čemelken,ветвистый,adj
13250,чикэр,čiker,жизнестойкий,adj
13243,чикти,čikti,бойкий,adj
13244,чикты,čiktɨ,смелый,adj
13282,чӣльча,čilča,спутанные,adj
13283,чӣльчи,čilči,спутанные,adj
13260,чилдукач,čildukač,кочковатое,adj
13268,чӣлиндача,čilindača,полосатый,adj
13280,чилкин,čilkin,жадный,adj
13304,чӣмэтэлкэн,čimetelken,очкастый,adj
13313,чиндэне,činden'e,пушистый,adj
13318,чӣӈэтэ,čiŋete,визгливый,adj
13329,чипчути,čipčuti,частый,adj
13337,чӣрика,čirika,белоснежный ,adj
13346,чӣстаду,čistadu,начисто,adj
13203,чивечча,čiw'ečča,эвенский,adj
13155,че̄имдэ,čjeimde,посевной,adj
13167,челкин,čjelkin,жадный,adj
13182,чётнай,čjotnaj,чётный,adj
13371,чокаррон,čokarron,веко,adj
13409,чораня,čoran'a,мягкий,adj
13413,чо̄ргути,čorguti,прямой,adj
13494,чӯкча,čukča,чукча,adj
13498,чӯлаӈра,čulaŋra,мокрый,adj
13500,чӯлбаня,čulban'a,зеленый,adj
13502,чӯлбаняста,čulban'asta,зеленоватый,adj
13524,чуӈа̄ти,čuŋati,звонкий,adj
13526,чуӈгун,čuŋgun,глубокий,adj
13542,чупути,čuputi,узкий,adj
13553,чӯрика,čurika,белый.олень,adj
13555,чурила̄вун,čurilawun,суеверный,adj
13576,чӯсэлкэн,čuselken,сочный,adj
13577,чӯсэпчун,čusepčun,сочный,adj
13579,чутаня,čutan'a,желтоватый,adj
13580,чӯтаня,čutan'a,влажный,adj
3233,дөй,dөj,мягкий,adj
3243,дөлбэ,dөlbe,спокойный,adj
3245,дӫлбэр,dӫlber,мягкий,adj
3254,дөмӈэткэн,dөmŋetken,живущий.в.глубине.материка.тайге,adj
3255,дөндыткын,dөndɨtkɨn,таежный,adj
3261,дө̄ӈтэр,dөŋter,твердый,adj
3264,дӫ̄р,dӫr,двухсотый,adj
3279,дӫ̄ритэн,dӫriten,двенадцатый,adj
3282,дӫ̄рмягитан,dӫrm'agitan,двадцатый,adj
3281,дө̄рмэн,dөrmen,двойной,adj
3280,дӫ̄рмэн,dӫrmen,надвое,adj
3300,дӫ̄тэлди,dӫtelďi,попарно,adj
2680,да̄,da,сват,adj
3910,дя,ďa,родной,adj
3912,дя̄,ďa,кровный.родственник,adj
2691,дабдука̄лкан,dabdukalkan,выигрышный,adj
3971,дядьга,ďaďga,голый,adj
2757,даган,dagan,свежий.след,adj
2759,дагар,dagar,свежий,adj
2763,дагрит,dagrit,временный,adj
4062,дяюдь,ďajuď,спрятанный,adj
4067,дяютты,ďajuttɨ,спрятавшийся,adj
3980,дялач,ďalač,смирный,adj
3978,дялалкан,ďalalkan,удачный,adj
2782,да̄лга,dalga,похабный,adj
2783,далгас,dalgas,прожорливый,adj
3983,дялгуг,ďalgug,каменистое.место,adj
2791,да̄ли,dali,близкий,adj
2794,да̄лидмар,dalidmar,ближайший,adj
2808,далра,dalra,вкусный,adj
3994,дялсалкан,ďalsalkan,слюнявый,adj
2815,далси,dalsi,сладкий,adj
2818,да̄лталкан,daltalkan,слоистый,adj
4011,дялучак,ďalučak,сытая.пора,adj
4007,дялур,ďalur,ненасытный,adj
4009,дялуттыч,ďaluttɨč,сытно,adj
4021,дяпкаду,ďapkadu,справедливо,adj
4025,дяпкалкан,ďapkalkan,правдивый,adj
4026,дяпкалкан,ďapkalkan,щелистый,adj
4043,дяпки,ďapki,восьмой,adj
4044,дяпкис,ďapkis,восьмой,adj
4045,дяпкитан,ďapkitan,восьмой,adj
2828,да̄рамач,daramač,напрасно,adj
4060,дяталкан,ďatalkan,ядовитый,adj
3916,дява,ďawa,земное,adj
3925,дявалдань,ďawaldan',врукопашную,adj
3956,дявулдань,ďawuldan',врукопашную,adj
2727,да̄вувки,dawuwki,заразный,adj
2883,дебэмдэ,ďebemde,пищевой,adj
2886,дебэмэ-э,ďebemee,голодно,adj
2885,дебэмси,ďebemsi,голодный,adj
2894,дебэӈкэ,ďebeŋke,пищевой,adj
2897,дебэпти,ďebepti,съедобный,adj
2867,дебукэлкэн,ďebukelken,ядовитый,adj
3578,дэбули,debuli,лохматый,adj
3612,дэгэлдывун,degeldɨwun,летательный,adj
3616,дэгэмдэ,degemde,лётный,adj
2928,дегэндэ,ďegende,левый,adj
2926,дегэнгэг,ďegengeg,левый,adj
2919,дегэнгидэ,ďegengide,левая.сторона,adj
2913,дегиндэ,ďeginde,левая.часть,adj
3607,дэгусмэгэн,degusmegen,летучий,adj
3624,дэи,dei,береговой,adj
3625,дэ̄и,dei,верхний,adj
3627,дэйдэ-н,dejden,находящийся.на.горе,adj
3639,дэлбэри,delberi,равнодушный,adj
2988,делдяӈи,ďelďaŋi,кривой,adj
3643,дэ̄лдэку,deldeku,расколотый,adj
3677,дэ̄лэ,dele,открытый,adj
2997,делэд,ďeled,чистое.небо,adj
3679,дэ̄лэк,delek,мирный,adj
3673,дэлмичэ,delmiče,свободный,adj
3668,дэлмилкэн,delmilken,вольный,adj
3672,дэлмири,delmiri,свободный,adj
3001,дем,ďem,голодный,adj
3027,демэ̄,ďeme,голодно,adj
3680,дэ̄мӈэ,demŋe,широкий,adj
3023,демократическай,ďemokratičjeskaj,демократический,adj
3026,демси,ďemsi,голодный,adj
3689,дэ̄нэкэн,deneken,энэкэн,adj
3039,денӈэпэн,ďenŋepen,головной.убор.женский.праздничный,adj
3062,депкич,ďepkič,съедобный,adj
3064,деплэмдэ,ďeplemde,продовольственный,adj
3070,депутатмия,ďeputatmija,бывший.депутат,adj
3724,дэрэмкэчэ,deremkeče,мертвый,adj
3087,десятичнай,ďes'atičnaj,десятичный,adj
3743,дэ̄тлэлкэн,detlelken,крылатый,adj
3589,дэвусмэгэн,dewusmegen,летучий,adj
2951,дежурнэй,ďežurnej,дежурный,adj
3123,дичэй,ďičej,бешеный,adj
3112,диньде,ďin'ďe,огромный,adj
3117,дипкуты,ďipkutɨ,плотный,adj
3514,дылэгдэ,dɨlegde,большеголовый,adj
3493,дылгалка̄н,dɨlgalkan,голосистый,adj
3496,дылгур,dɨlgur,звучный,adj
3497,дылгурач,dɨlgurač,звучно,adj
3510,дылӈие,dɨlŋije,тупой,adj
3515,дынмэк,dɨnmek,неподдающийся,adj
3516,ды̄ӈаку,dɨŋaku,крепкий,adj
3522,ды̄ӈти,dɨŋti,густой,adj
3530,дыпрэ,dɨpre,крепкий,adj
3533,дырам,dɨram,толстый,adj
3541,дырамкакан,dɨramkakan,толстенький,adj
3548,дырэлчилэн,dɨrelčilen,гулкий,adj
3551,дырэлэлкэн,dɨrelelken,гулкий,adj
3554,дырэне,dɨren'e,гулкий,adj
3567,дысучиннэ,dɨsučinne,обороноспособный,adj
3561,дысуттэ,dɨsutte,защищающий,adj
3560,дысутти,dɨsutti,защищающий,adj
2890,дёбэнӈэ,ďobenŋe,строгий,adj
2872,дёбутур,ďobutur,жадный,adj
2938,дёданамда,ďodanamda,богатый,adj
2939,дёданамда,ďodanamda,вещевой,adj
2940,дёданамра,ďodanamra,вещевой,adj
2941,дёданапчи,ďodanapči,имущий,adj
2942,дёданапчун,ďodanapčun,богатый,adj
3137,до̄г,dog,внутренний,adj
3140,до̄гар,dogar,внутренний,adj
2915,дёгри,ďogri,бедный,adj
3158,докаламча,dokalamča,пушистый,adj
3162,до̄клан,doklan,хромой.животное,adj
2966,дёкуты,ďokutɨ,верный,adj
2972,дёлак,ďolak,возлюбленный,adj
2973,дёлака̄г,ďolakag,каменистое,adj
3176,долбанирып,dolbanirɨp,ночной,adj
3178,долбар,dolbar,ночной,adj
2976,дёлбэр,ďolber,мягкий,adj
3185,долбуча,dolbuča,запоздалый,adj
3201,долчилан,dolčilan,внимательный,adj
3192,долдан,doldan,чуткий,adj
3196,до̄лдывун,doldɨwun,посадочный,adj
3002,дём,ďom,голодный,adj
3033,дёмэч,ďomeč,голодно,adj
3021,дёмкэнь,ďomken',голодно,adj
3208,донрэткэн,donretken,живущий.в.глубине.материка,adj
3053,дё̄ӈчан,ďoŋčan,памятливый,adj
3056,дё̄ӈчилдывун,ďoŋčildɨwun,подаренное.на.память,adj
3212,доӈканя,doŋkan'a,выпуклый,adj
3078,дёрка,ďorka,быстрый,adj
3081,дёрминамрин,ďorminamrin,вороватый,adj
3215,доро̄ва,dorowa,здорово,adj
3750,дюбукэлкэн,ďubukelken,ядовитый,adj
3320,дудыка,dudɨka,верхняя,adj
3776,дюгар,ďugar,летний,adj
3777,дюгарап,ďugarap,летний,adj
3780,дюгасадяк,ďugasaďak,летняя,adj
3781,дюгасак,ďugasak,летняя,adj
3796,дюгур,ďugur,летний,adj
3819,дюир,ďuir,кислый,adj
3325,дуй,duj,мягкий,adj
3438,дуялкан,dujalkan,шумный,adj
3821,дюк,ďuk,плотный,adj
3822,дю̄кагча,ďukagča,бисерный.онамент.изображающий.чум,adj
3330,дукалан,dukalan,грамотный,adj
3332,дукамда,dukamda,письменный,adj
3352,дукунь,dukun',письменно,adj
3358,дулак,dulak,средний,adj
3832,дюла̄ккан,ďulakkan,голый,adj
3366,дулам,dulam,тихий.не.занятый.делом,adj
3367,дуламач,dulamač,тихо.без.дела,adj
3372,дулба,dulba,спокойный,adj
3867,дюлэг,ďuleg,передний,adj
3871,дюлэп,ďulep,передний,adj
3874,дюлэ̄скимдэ,ďuleskimde,будущий,adj
3882,дю̄мда,ďumda,домашний,adj
3886,дю̄ндя,ďunďa,большой.дом,adj
3887,дюндяка,ďunďaka,голый,adj
3385,дундэткэн,dundetken,таежный,adj
3893,дюпти,ďupti,двойной,adj
3896,дюптисаг,ďuptisag,двойной,adj
3413,дурчэмие,durčemije,обгоревший.давно,adj
3425,дурэтлэ,duretle,обгорелый,adj
3395,дуримдэ,durimde,пожарный,adj
3900,дюрку,ďurku,быстрое.течение,adj
3427,дӯс,dus,глубокий,adj
3904,дю̄сач,ďusač,домовитый,adj
3432,дутучипчэ,dutučipče,жженый,adj
3761,дювур,ďuwur,летний,adj
3763,дювурап,ďuwurap,летний,adj
13679,эбдекэдемдэ,ebďekeďemde,праздничный,adj
13685,эбдемкэтты,ebďemkettɨ,увлекательный,adj
13688,эбдени,ebďeni,радостный,adj
13689,эбденич,ebďenič,радостно,adj
13692,эбдэнрэлкэн,ebdenrelken,лиственный,adj
14699,эчэпкикэн,ečepkiken,мелкие,adj
14695,эчукэтты,ečukettɨ,утомительный,adj
14696,эчус,ečus,утомительный,adj
14697,эчус-э̄,ečuse,трудно,adj
14698,эчусэч,ečuseč,утомительно,adj
13880,эдэлкэн,edelken,ветреный,adj
13883,эдэмдэ,edemde,предназначенный,adj
13852,э̄ден,eďen,коллективная,adj
13895,эдэнрэ,edenre,ветреный,adj
13855,э̄дери,eďeri,пляшущий,adj
13896,э̄дэтэ,edete,брезгливый,adj
13847,эдгич,edgič,нижний,adj
13857,эди,eďi,нижний,adj
13859,эдилкэн,eďilken,замужняя,adj
13873,э̄дуӈи,eduŋi,хриплый,adj
13817,эгдэ,egde,большая,adj
13831,эгдэч,egdeč,большей,adj
13822,эгдэкэе,egdekeje,огромный,adj
13820,эгдэку,egdeku,разорванный,adj
13799,эгделбукэтты,egďelbukettɨ,увеличивающий,adj
13808,эгде̄мкэр,egďemker,огромный,adj
13809,эгден,egďen,большой,adj
13811,эгденде,egďenďe,огромный,adj
13812,эгденрэг,egďenreg,громадный,adj
13813,эгдеӈэтэн,egďeŋeten,самый.большой,adj
13814,эгдепчи,egďepči,крупный,adj
13840,э̄гэмэч,egemeč,напрасно,adj
13845,эгэрэ,egere,жадный,adj
13838,эгтэлкэн,egtelken,ветвистый,adj
13839,эгтэми,egtemi,старые.ветки,adj
13941,эир,eir,бойкий,adj
13944,э̄йду,ejdu,надежный,adj
13910,э̄ек,ejek,злой,adj
13915,э̄екэч,ejekeč,важный,adj
13917,э̄екэчич,ejekečič,важно,adj
13912,э̄екти,ejekti,корякский,adj
13928,эемэчидды,ejemečiddɨ,плавающий,adj
13930,эе̄ни,ejeni,текучий,adj
13932,эе̄рдэ,ejerde,быстрый,adj
13938,эетты,ejettɨ,надеющийся,adj
13907,эевӈи,ejewŋi,уважаемый,adj
13909,эевӈич,ejewŋič,надежно,adj
14707,эюм,ejum,легкий,adj
14708,эюмкудмэр,ejumkudmer,дешевле,adj
14714,эюмкун,ejumkun,легкий,adj
14715,эюмкунь,ejumkun',легко,adj
13978,экэ̄,eke,старшая,adj
13998,экэчэ,ekeče,пожилая,adj
13979,экэдмэр,ekedmer,старшая,adj
13986,экэӈнэ,ekeŋne,пожилая,adj
13976,экуруӈчири,ekuruŋčiri,беспокойный,adj
14079,элэк,elek,даровой,adj
14086,элэкэн,eleken,достаточный,adj
14098,элэмэк,elemek,брезгливый,adj
14025,э̄лгэду,elgedu,неспокойно,adj
14022,э̄лгэг,elgeg,промежуточный,adj
14047,эликэ,elike,волшебная,adj
14058,элиӈэ,eliŋe,спешный,adj
14044,эливун,eliwun,истинный,adj
14061,элки,elki,гармонично,adj
14062,элки,elki,однообразный,adj
14063,элкивун,elkiwun,одновременный,adj
14068,элмэн,elmen,выносливый,adj
14117,эмдэӈнэдь,emdeŋneď,больной,adj
14161,эмэгдэ,emegde,губастый,adj
14163,эмэл,emel,пришлые,adj
14175,эмэр,emer,острый,adj
14181,эмэрӈи,emerŋi,вьющийся,adj
14182,эмэрӈие,emerŋije,вьющийся,adj
14183,эмэрукэ,emeruke,вьющийся,adj
14127,э̄мӈэ,emŋe,широкий,adj
14138,эмтэку,emteku,проломанный,adj
14151,эмукэтты,emukettɨ,исходный,adj
14154,эмур,emur,острый,adj
14155,эмурукэ,emuruke,кудрявый,adj
14240,эньки,en'ki,ножны,adj
14199,эники,eniki,ножны,adj
14208,энкэкэн,enkeken,рыхлый,adj
14220,энӈэчэ,enŋeče,передняя,adj
14221,энси,ensi,больной,adj
14227,энтэкчэ,entekče,густой,adj
14230,энтэрэн,enteren,пустой,adj
14224,э̄нтуккэн,entukken,тихонько,adj
14225,э̄нтукукэн,entukuken,тихонько,adj
14226,э̄нтукун,entukun,тихий,adj
14348,эӈэч,eŋeč,смело,adj
14325,эӈэе,eŋeje,богатый,adj
14344,эӈэр,eŋer,смелый,adj
14264,эӈидмэр,eŋidmer,сильнее,adj
14265,эӈидмэрэч,eŋidmereč,сильнее,adj
14273,эӈилэтты,eŋilettɨ,сильный,adj
14275,эӈин,eŋin,похож,adj
14277,эӈис,eŋis,обладающий.силой,adj
14291,эӈкэкэн,eŋkeken,рыхлый,adj
14300,эӈкэлчэ,eŋkelče,облинялый,adj
14294,эӈкэлри,eŋkelri,летучий,adj
14295,эӈкэлри,eŋkelri,линючий,adj
14306,эӈкэӈэ,eŋkeŋe,рыхлый,adj
14316,эӈун,eŋun,ужасный,adj
14324,эӈутэ,eŋute,боязливый,adj
14358,эпкэмчэ,epkemče,схваченный,adj
14425,эрдэ-н,erden,нижний,adj
14433,эрдэмрэ,erdemre,слабый,adj
